2026北陸6日遊 - 完整行程攻略,,,,,
日期/景點,觀光重點,注意事項,推薦美食,伴手禮,原始備註
Day 1 (1/3),,,,,
小港→成田,"• 美國聯航 11:30→15:55
• N'EX成田特快→東京站(17:16→18:18)
","• 提前2-2.5小時到機場
• 成田特快需預訂
• 可在東京站購買便當","• 東京站便當
• Shake Shack漢堡
• 東京拉麵街",,"請提前2~2.5小時到機場
09:30小港機場"
東京車站晚餐,"• 可選擇外帶或內用
• 車站內選擇多","• 18:30-19:30用餐
• 建議外帶上新幹線","• Shake Shack漢堡(外帶)
• 溫蒂漢堡(外帶)
• 車站便當
• 東京拉麵街
• GRANSTA八重北食堂",,"選項：
1.Shake Shack漢堡(外帶)
2.溫蒂漢堡(外帶)
3.車站便當
4.東京拉麵街
5.GRANSTA八重北食堂"
東京→金澤, 新幹線（19:56→22:23）,,,,
Day 2 (1/4),,,,,
🎯 高岡/富山地區美食總覽,,,,,
金澤→新高岡, 新幹線（08:50→09:04）,,,,
必吃美食,,,"✦ 富山黑拉麵（麵家IROHA）800-1,000日圓
  深黑醬油湯底，搭配白蝦天婦羅
✦ 白蝦料理（白蝦亭，富山站1F）
  天婦羅、生魚片、握壽司
✦ 鱒魚壽司
  竹葉包裹押壽司，富山站便當
✦ 冰見牛/能登牛
  高品質和牛料理","✦ 白蝦仙貝（日出屋製果）
  保存120天，適合大量購買
✦ 富山黑拉麵泡麵（麵家IROHA）
  袋裝生麵約750日圓
✦ 煙燻螢火魷
  下酒好物
✦ 月世界和菓子
  富山代表甜點
✦ 哆啦A夢限定商品
  高岡站文苑堂、哆啦A夢郵筒",
瑞龍寺,"• 富山唯一國寶建築
• 山門、佛殿、法堂為國寶
• 左右對稱迴廊300公尺
• 江戶初期禪宗寺院代表","• 門票：成人500日圓
• 開放：9:00-16:30
• 可預約早朝座禪會
• 從高岡站步行10分鐘",,,日本國寶
哆啦A夢廣場,"• 位於高岡童話之森公園
• 哆啦A夢雕像群
• 漫畫空地場景","• 新高岡站步行約15分
• 適合拍照",,,哆啦A夢漫畫空地
哆啦A夢散步道,"• JR高岡站前文苑堂書店
• 哆啦A夢限定商品
• 新高岡站步行約15分","• 冬季注意保暖
• 適合拍照",,"• 哆啦A夢限定商品
• 哆啦A夢郵筒（限定郵戳）",JR高岡站前文苑堂書店(多拉a夢限定)
高岡大佛,"• 日本三大佛之一，高16公尺
• 「日本第一美男子大佛」
• 青銅鑄造，展現高岡工藝
• 基座內部可參觀","• 免費參觀
• 基座空間不大
• 搭萬葉線（哆啦A夢電車）",• 大佛旁咖啡館有大佛蛋糕,,三大佛
古城公園,"• 高岡古城遺址
• 自然景觀優美",• 免費參觀,,,動物園、神社
高岡→富山,,,,,
Aeon Mall,"• 大型購物中心
• 多家餐廳",,• 美食街多樣選擇,,午餐選項
富山午餐選擇,"• 和食歡樂：越中料理定食
• 越中茶屋：海幸山幸定食
• 富山麵家：黑拉麵","• 位於富山站附近
• 建議預留用餐時間","• 和食歡樂(Marier 6F)
  越中料理定食
• 越中茶屋(JR富山站旁)
  海幸山幸定食
• 富山麵家(CiC B1)
  黑拉麵",,"午餐選項：
和食歡樂-越中料理
越中茶屋-定食
富山麵家-黑拉麵"
富山市玻璃美術館,"• 隈研吾設計的現代建築
• 當代玻璃藝術展示
• 建築本身就是藝術品","• 週三休館
• 門票約200日圓
• 位於富山市南側",,,南邊
富山城/富山市鄉土博物館,"• 曾被稱為「浮動城堡」
• 了解富山歷史
• 金祖河附近","• 可搭配玻璃美術館參觀
• 位於富山市南側",,,南邊
富山市役所展望台,"• 免費展望台
• 可眺望富山市區
• 天氣好可見立山連峰","• 免費參觀
• 位於富山市南側",,,南邊
星巴克環水公園概念店,"• 世界最美星巴克之一
• 富岩運河環水公園內
• 環境優美適合散步","• 熱門時段需排隊
• 天氣好時戶外座位舒適
• 位於富山市北側","• 星巴克特調咖啡
• 輕食、甜點",• 星巴克隨行杯,北邊
吳羽山展望台,"• 可眺望富山市區和立山連峰
• 夜景優美","• 需搭車前往
• 位於富山市東側",,,東邊
富山市民俗民藝村,"• 傳統建築群
• 民俗文化展示","• 搭乘觀光巴士前往
• 位於富山市東側",,,東邊
日本海庄(晚餐),"• 富山站前店
• 新鮮海產料理",• 建議預約,"• 大鍋蟹鍋飯
• 富山海鮮",,南邊-晚餐-大鍋蟹鍋飯
雨晴海岸（選項）,"• 眺望立山連峰的絕美海岸
• 世界百大海灣之一
• 冬季清晨最迷幻
• 義經岩傳說","• JR冰見線雨晴站步行5分
• 最佳拍攝：清晨
• 需晴天才能看到立山連峰",• 冰見番屋街有海鮮,"• 冰見牛咖哩包（堀與）
• 海產乾物",
冰見漁港場外市場（選項）,"• 冰見番屋街
• 忍者哈特利主題","• 從冰見站步行約20分
• 海鮮新鮮","• 新鮮海產
• 海鮮丼",,
八尾町（選項）,"• 越中八尾
• 傳統街道",• 從富山站搭高山線約25分,,,
富山→金澤,未定,,,,
Day 3 (1/5),,,,,
🎯 金澤地區美食總覽,,,,,
必吃美食,,,"✦ 近江町市場海鮮丼 2,000-4,000日圓
  建議上午或中午前到訪
✦ 金澤關東煮（魚八、輪島河豚AMIYA）
  昆布高湯、車麩、赤卷魚板
✦ 治部煮
  加賀傳統鴨肉燉煮
✦ 金箔冰淇淋（東茶屋街）500-800日圓
  金箔覆蓋超浮誇","✦ 福兔饅頭（金澤福うさぎ）
  紅豆、地瓜、棒茶等口味
✦ 金鍔（中田屋）日本票選第一
✦ 加賀棒茶（丸八製茶場）
  昭和天皇御用
✦ 金箔蜂蜜蛋糕（烏雞庵）
  使用烏骨雞蛋
✦ 金箔面膜、吸油面紙（箔一）
✦ 九谷燒星巴克限定馬克杯
✦ 加賀棒茶瑪德蓮（Frandore）",
東茶屋街/主計町,"• 金澤三大茶屋街之一
• 江戶時代茶屋建築
• 體驗藝妓文化
• 特色商店、咖啡廳","• 早上或傍晚較清幽
• 可租借和服拍照
• 部分茶屋需預約","• 金箔冰淇淋
• 和菓子
• 抹茶甜點","• 金箔商品專賣店
• 和菓子老舖
• 金箔筷子DIY體驗",
近江町市場,"• 金澤廚房，超過300年歷史
• 新鮮海產、加賀蔬菜
• 海鮮丼、握壽司","• 營業：9:00-17:00
• 週三部分店休
• 建議中午前到訪較新鮮","• 海鮮丼 2,000-4,000日圓
• 握壽司
• 香箱蟹（冬季限定）
• 金澤關東煮","• 新鮮海產
• 加賀蔬菜
• 醃漬物",
敘敘苑11:30(午餐),"• 高品質和牛燒肉
• 已預約","• 準時抵達
• 建議點午間套餐較划算",• 和牛燒肉套餐,,
金澤城公園,"• 加賀百萬石前田家居城
• 石川門、菱櫓等文化財
• 與兼六園相鄰","• 免費入園
• 部分區域需門票310日圓
• 櫻花季、楓葉季特別美",,,
兼六園,"• 日本三大名園之一
• 冬季特色雪吊景觀
• 必看：唐崎松、霞池、根上松
• 四季景色各異","• 門票：成人320日圓
• 開放：7:00-18:00（依季節）
• 1月最適合看雪吊
• 搭巴士約12分鐘",,,
21世紀美術館,"• 當代藝術美術館
• 著名「游泳池」裝置
• 圓形建築設計獨特","• 週一休館
• 門票：展覽區450日圓
• 部分區域免費
• 建議預留拍照時間",• 美術館咖啡廳,"• 美術館商店設計商品
• 藝術周邊",
長町武家屋敷跡,"• 保存完整的武家街道
• 冬季有薦草覆蓋土牆
• 可參觀武家宅邸內部","• 免費參觀街道
• 部分宅邸需門票
• 冬季景色獨特",,,
香林坊・片町界隈,"• 金澤鬧區
• 購物、餐飲集中",• 適合晚上逛街,,,
Itaru(晚餐),"• 喉黑魚三吃
• 金澤在地料理","• 建議預約
• 營業至20:00","• 喉黑魚料理
• 地酒",,
金澤好市多（選項）,"• 野野市店
• 可採購伴手禮",• 營業至20:00,,,
Day 4 (1/6),,,,,
🎯 輕井澤地區美食總覽,,,,,
金澤→輕井澤, 新幹線（09:17→11:16）,,,,
必吃美食,,,"✦ 信州蕎麥麵
  舊輕井澤多家店
✦ 信州牛肉
  王子購物廣場餐廳","✦ SAWAYA澤屋果醬
  百年老店，藍莓、葡萄最有名
✦ JAM KOBAYASHI果醬
  老闆娘是台灣人，中文溝通
✦ 輕井澤塔（白樺堂）
  杏仁片、核桃口味
✦ 淺野屋麵包
  天然酵母，當天享用
✦ 輕井澤紅茶
  紅茶餅乾、果醬",
白絲瀑布,輕井澤站北口巴士站2號月台-白糸の滝入口下車,"• 巴士單程710日圓
• 停留20-30分鐘即可
• 有熊出沒，避免發聲物品
• 附近有烤岩魚","• 烤岩魚
• 湯麵",,
舊輕井澤銀座街,"• 懷舊商店街
• 餐廳、咖啡廳、伴手禮店
• 適合午餐","• 從車站搭巴士3分鐘
• 預留用餐時間","• 信州蕎麥麵
• 輕食、咖啡
• 淺野屋麵包","• 果醬專賣店（多家）
• 白樺堂輕井澤塔
• 輕井澤紅茶
• BON OKAWA巧克力餅乾",
雲湯池（選項）,"• 輕井澤人氣景點
• 湖面如鏡","• 秋季楓葉最美
• 冬季可能結冰",,,
輕井澤王子購物廣場,"• 大型Outlet
• 名牌折扣商品
• 可遠眺淺間山","• 營業：10:00-19:00
• 可寄放行李
• 預留充足時間
• 多家餐廳","• 多家餐廳選擇
• 美食街
• 咖啡廳","• 名牌折扣商品
• 運動品牌
• 生活雜貨",
輕井澤→東京, 新幹線（18:57→20:00）,,,,
Day 5 (1/7),,,,,
🎯 東京美食總覽,,,,,
必吃美食,,,"✦ 築地市場海鮮丼 1,500-3,000日圓
  建議早上參訪
✦ 淺草寺仲見世通小吃
  人形燒、雷門煎餅、炸饅頭","✦ 東京香蕉
  經典伴手禮，多種口味
✦ PRESS BUTTER SAND
  奶油夾心餅乾
✦ 龜十銅鑼燒（淺草）
  現做鬆軟，需排隊
✦ N.Y.PERFECT CHEESE
  起司夾心餅乾",
築地市場,"• 東京著名海鮮市場
• 外圍市場營業中
• 新鮮海產、握壽司","• 建議早上參觀
• 多數店中午前結束
• 人潮眾多","• 海鮮丼
• 握壽司
• 玉子燒
• 海產小吃",,
築地市場→大船→湘南江之島,單軌電車,,,,
江之島、鎌倉,"• 江之島：海島神社、展望台
• 櫻木花道平交道
• 鎌倉大佛：日本三大佛","• 從東京搭JR約1小時
• 建議購買江之電一日券
• 週末人潮較多","• 江之島海鮮
• 鎌倉小吃
• 鶴岡八幡宮周邊美食","• 江之島特產
• 鎌倉和菓子",
橫濱,,,,,
Day 6 (1/8),,,,,
淺草寺,"• 東京最古老寺廟
• 雷門、仲見世通
• 淺草文化觀光中心展望台","• 建議早上避開人潮
• 仲見世通有伴手禮
• 可搭配晴空塔","• 人形燒
• 雷門煎餅
• 炸饅頭
• 大福","• 雷門煎餅
• 人形燒
• 江戶風工藝品
• 和風小物",
東京→成田機場, N'EX成田特快(14:03→14:58),"• 提前3小時到機場
• 辦理退稅",• 機場美食街,"• 成田機場免稅店
• 東京限定商品
• 最後補貨機會",
🛍️ 購物地點總整理,,,,,
購物重點提醒,"• 金澤站百番街：離開金澤前最後機會
• 富山站TOYAMARCHE：白蝦、黑拉麵齊全
• 舊輕井澤銀座通：果醬一級戰區
• 成田機場免稅店：最後補貨","• 建議早點購買重物，避免最後太重
• 果醬算液體需託運
• 注意保存期限
• 免稅需護照",,"• 預算分配建議：
  金澤 30%
  富山 20%
  輕井澤 30%
  東京 20%",
